,time_value,trend,geo_value
839,2020-10-25,77,dc
840,2020-10-25,81,de
841,2020-10-25,86,fl
842,2020-10-25,92,ga
843,2020-10-25,56,hi
844,2020-10-25,35,ia
845,2020-10-25,46,id
846,2020-10-25,89,il
847,2020-10-25,82,in
848,2020-10-25,86,ks
849,2020-10-25,81,ky
850,2020-10-25,71,la
851,2020-10-25,86,ma
852,2020-10-25,60,md
853,2020-10-25,59,me
854,2020-10-25,79,mi
855,2020-10-25,79,mn
856,2020-10-25,71,mo
857,2020-10-25,54,ms
858,2020-10-25,100,mt
859,2020-10-25,54,nc
860,2020-10-25,22,nd
861,2020-10-25,62,ne
862,2020-10-25,43,nh
863,2020-10-25,91,nj
864,2020-10-25,47,nm
865,2020-10-25,51,nv
866,2020-10-25,77,ny
867,2020-10-25,66,oh
868,2020-10-25,48,ok
869,2020-10-25,86,or
870,2020-10-25,59,pa
871,2020-10-25,52,ri
872,2020-10-25,72,sc
873,2020-10-25,7,sd
874,2020-10-25,85,tn
875,2020-10-25,93,tx
876,2020-10-25,91,us
877,2020-10-25,55,ut
878,2020-10-25,77,va
879,2020-10-25,30,vt
880,2020-10-25,71,wa
881,2020-10-25,42,wi
882,2020-10-25,28,wv
883,2020-10-25,54,wy
884,2020-10-26,42,ak
885,2020-10-26,60,al
886,2020-10-26,57,ar
887,2020-10-26,68,az
888,2020-10-26,70,ca
889,2020-10-26,54,co
890,2020-10-26,53,ct
891,2020-10-26,75,dc
892,2020-10-26,67,de
893,2020-10-26,83,fl
894,2020-10-26,81,ga
895,2020-10-26,37,hi
896,2020-10-26,50,ia
897,2020-10-26,51,id
898,2020-10-26,85,il
899,2020-10-26,82,in
900,2020-10-26,53,ks
901,2020-10-26,64,ky
902,2020-10-26,79,la
903,2020-10-26,86,ma
904,2020-10-26,79,md
905,2020-10-26,63,me
906,2020-10-26,85,mi
907,2020-10-26,72,mn
908,2020-10-26,65,mo
909,2020-10-26,71,ms
910,2020-10-26,27,mt
911,2020-10-26,65,nc
912,2020-10-26,24,nd
913,2020-10-26,56,ne
914,2020-10-26,40,nh
915,2020-10-26,86,nj
916,2020-10-26,47,nm
917,2020-10-26,66,nv
918,2020-10-26,79,ny
919,2020-10-26,65,oh
920,2020-10-26,45,ok
921,2020-10-26,82,or
922,2020-10-26,47,pa
923,2020-10-26,37,ri
924,2020-10-26,64,sc
925,2020-10-26,19,sd
926,2020-10-26,100,tn
927,2020-10-26,74,tx
928,2020-10-26,80,us
929,2020-10-26,70,ut
930,2020-10-26,80,va
931,2020-10-26,27,vt
932,2020-10-26,76,wa
933,2020-10-26,54,wi
934,2020-10-26,33,wv
935,2020-10-26,9,wy
936,2020-10-27,20,ak
937,2020-10-27,37,al
938,2020-10-27,67,ar
939,2020-10-27,77,az
940,2020-10-27,77,ca
941,2020-10-27,78,co
942,2020-10-27,47,ct
943,2020-10-27,60,dc
944,2020-10-27,62,de
945,2020-10-27,98,fl
946,2020-10-27,98,ga
947,2020-10-27,46,hi
948,2020-10-27,43,ia
949,2020-10-27,73,id
950,2020-10-27,93,il
951,2020-10-27,64,in
952,2020-10-27,46,ks
953,2020-10-27,59,ky
954,2020-10-27,93,la
955,2020-10-27,96,ma
956,2020-10-27,65,md
957,2020-10-27,54,me
958,2020-10-27,82,mi
959,2020-10-27,70,mn
960,2020-10-27,69,mo
961,2020-10-27,67,ms
962,2020-10-27,64,mt
963,2020-10-27,50,nc
964,2020-10-27,38,nd
965,2020-10-27,49,ne
966,2020-10-27,29,nh
967,2020-10-27,62,nj
968,2020-10-27,81,nm
969,2020-10-27,71,nv
970,2020-10-27,80,ny
971,2020-10-27,70,oh
972,2020-10-27,53,ok
973,2020-10-27,75,or
974,2020-10-27,52,pa
975,2020-10-27,100,ri
976,2020-10-27,69,sc
977,2020-10-27,40,sd
978,2020-10-27,84,tn
